merchant_name,day,cashback,normalized_cashback,category
1С Интерес,2022-01-21 00:00:00,240.53,-1.3044315131619368,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-22 00:00:00,399.21,-0.9130782233704893,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-23 00:00:00,385.44,-0.9470392442957994,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-24 00:00:00,209.48,-1.381010285836656,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-25 00:00:00,361.8,-1.005342696341866,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-26 00:00:00,380.77,-0.9585568890104835,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-27 00:00:00,2163.35,3.4378292170926072,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-28 00:00:00,1053.93,0.7016610373571168,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-29 00:00:00,534.87,-0.5784992764766919,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-30 00:00:00,458.59,-0.7666290278334579,Различные магазины и специальные розничные магазины
1С Интерес,2022-01-31 00:00:00,320.96,-1.106066595731094,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-01 00:00:00,370.72,-0.983343255045296,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-02 00:00:00,625.7,-0.3544847862337048,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-03 00:00:00,215.5,-1.3661631292665493,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-04 00:00:00,1123.93,0.8743023928234726,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-05 00:00:00,301.21,-1.1547761210233873,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-06 00:00:00,367.24,-0.991925996717052,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-07 00:00:00,222.34,-1.3492936025324083,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-08 00:00:00,491.73,-0.6848956775455287,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-09 00:00:00,402.62,-0.9046681230541996,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-10 00:00:00,553.86,-0.5316641430437477,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-11 00:00:00,378.15,-0.9650186083150815,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-12 00:00:00,932.99,0.4033861012128158,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-13 00:00:00,302.81,-1.150830032898442,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-14 00:00:00,584.89,-0.4551346964705903,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-15 00:00:00,458.76,-0.7662097559701824,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-16 00:00:00,560.92,-0.5142520291924267,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-17 00:00:00,343.34,-1.050870688083422,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-18 00:00:00,1896.45,2.779572391750174,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-19 00:00:00,973.05,0.502186282641133,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-20 00:00:00,443.86,-0.8029577016337351,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-21 00:00:00,440.9,-0.810257964664884,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-22 00:00:00,689.28,-0.19767710936869212,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-23 00:00:00,813.61,0.10895860099033662,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-24 00:00:00,523.71,-0.6060232411481851,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-25 00:00:00,1420.9,1.6067210118640962,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-26 00:00:00,1156.51,0.9546546122676705,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-27 00:00:00,750.11,-0.047651771468428916,Различные магазины и специальные розничные магазины
1С Интерес,2022-02-28 00:00:00,755.09,-0.03536957217953671,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-01 00:00:00,455.39,-0.7745212040833483,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-02 00:00:00,891.37,0.3007384838626769,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-03 00:00:00,866.42,0.23920417216431142,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-04 00:00:00,894.64,0.30880330146803375,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-05 00:00:00,938.74,0.41756735541183787,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-06 00:00:00,498.89,-0.6672369331863988,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-07 00:00:00,644.03,-0.30927741415230064,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-08 00:00:00,610.44,-0.3921206017253703,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-09 00:00:00,305.43,-1.144368313593844,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-10 00:00:00,864.91,0.23548005149639434,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-11 00:00:00,885.82,0.2870504906792731,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-12 00:00:00,456.24,-0.7724248447669712,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-13 00:00:00,595.47,-0.42904118874438957,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-14 00:00:00,413.31,-0.878303321769409,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-15 00:00:00,291.9,-1.1777374213004126,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-16 00:00:00,215.57,-1.365990487911083,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-17 00:00:00,213.49,-1.3711204024735117,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-18 00:00:00,475.46,-0.7250224611660661,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-19 00:00:00,336.27,-1.068307464985524,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-20 00:00:00,164.19,-1.4927092428233881,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-21 00:00:00,218.66,-1.3583696052197824,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-22 00:00:00,289.12,-1.184593749417505,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-23 00:00:00,232.24,-1.3248771822593093,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-24 00:00:00,280.28,-1.2063958863078277,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-25 00:00:00,320.36,-1.1075463787779485,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-26 00:00:00,208.07,-1.3844877759967638,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-27 00:00:00,103.98,-1.6412054715752349,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-28 00:00:00,131.86,-1.5724448859980635,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-29 00:00:00,91.91,-1.6709737738677908,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-30 00:00:00,141.44,-1.5488176833499538,Различные магазины и специальные розничные магазины
1С Интерес,2022-03-31 00:00:00,334.99,-1.07146433548548,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-01 00:00:00,1192.18,1.0426277144031693,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-02 00:00:00,1127.87,0.8840196348311499,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-03 00:00:00,1005.04,0.5810833820892576,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-04 00:00:00,685.83,-0.2061858618881052,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-05 00:00:00,695.54,-0.18223803957984377,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-06 00:00:00,735.69,-0.0832158906944981,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-07 00:00:00,509.35,-0.641439382069569,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-08 00:00:00,1351.67,1.4359787113078704,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-09 00:00:00,1688.7,2.267197511776811,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-10 00:00:00,1468.21,1.7234019051085716,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-11 00:00:00,586.43,-0.45133658665033055,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-12 00:00:00,752.5,-0.04175730233179195,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-13 00:00:00,739.5,-0.07381926834697229,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-14 00:00:00,898.81,0.31908779364367224,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-15 00:00:00,1371.16,1.48404699727986,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-16 00:00:00,1248.93,1.182590527584822,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-17 00:00:00,1384.36,1.516602224310658,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-18 00:00:00,1033.4,0.6510277941039129,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-19 00:00:00,1151.14,0.9414105539983232,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-20 00:00:00,938.3,0.4164821811774778,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-21 00:00:00,1031.75,0.6469583907250628,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-22 00:00:00,1020.26,0.6186205453777995,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-23 00:00:00,1223.56,1.1200203677536582,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-24 00:00:00,1283.59,1.2680726615914486,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-25 00:00:00,908.83,0.34380017052614226,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-26 00:00:00,580.74,-0.465369862544667,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-27 00:00:00,1302.78,1.3154010560400111,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-28 00:00:00,961.08,0.47266461085638634,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-29 00:00:00,1256.18,1.2004712394009802,Различные магазины и специальные розничные магазины
1С Интерес,2022-04-30 00:00:00,1102.4,0.8212028444921777,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-01 00:00:00,1618.76,2.094704134615141,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-02 00:00:00,1176.41,1.0037340833216775,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-03 00:00:00,651.51,-0.29082945216818146,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-04 00:00:00,870.96,0.2504011972188438,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-05 00:00:00,1404.03,1.5651144451967043,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-06 00:00:00,1938.99,2.8844890097721563,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-07 00:00:00,1256.71,1.2017783810923683,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-08 00:00:00,1347.42,1.4254969147259846,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-09 00:00:00,634.09,-0.333792486628523,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-10 00:00:00,643.62,-0.3102885992343178,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-11 00:00:00,839.87,0.1737237723410009,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-12 00:00:00,822.69,0.13135265109940114,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-13 00:00:00,693.33,-0.18768857380242424,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-14 00:00:00,1419.64,1.6036134674657019,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-15 00:00:00,770.77,0.003302091444926847,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-16 00:00:00,623.26,-0.36050257062424645,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-17 00:00:00,525.44,-0.6017565333630879,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-18 00:00:00,1006.39,0.5844128939446802,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-19 00:00:00,896.15,0.3125274221359508,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-20 00:00:00,814.94,0.11223878674419747,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-21 00:00:00,1215.92,1.1011777969570449,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-22 00:00:00,1223.88,1.1208095853786477,Различные магазины и специальные розничные магазины
